official_name	occurrences	name_type	capitalized_case
Allergy Relief Eye Drops	1	brand	Allergy Relief Eye Drops
AllerNaze	1	brand	Allernaze
ALLIUM CEPA	4	brand	Allium Cepa
ALLOPURINOL	1	generic	Allopurinol
ALMOND	1	generic	Almond
ALOCRIL	1	brand	Alocril
ALOE SUN BB SPF20 PA PLUS NUMBER1 NATURAL SKIN	1	brand	Aloe Sun Bb Spf20 Pa Plus Number1 Natural Skin
ALOE SUN BB SPF20 PA PLUS NUMBER1 RADIANT SKIN	1	brand	Aloe Sun Bb Spf20 Pa Plus Number1 Radiant Skin
ALOE SUN ESSENCE SPF 27 PA PLUS PLUS	1	brand	Aloe Sun Essence Spf 27 Pa Plus Plus
ALOE SUN SPF28 PA PLUS PLUS	1	brand	Aloe Sun Spf28 Pa Plus Plus
ALOE VERA FLOWER	2	generic	Aloe Vera Flower
ALOE, CALENDULA OFFICINALIS FLOWERING TOP, HAMAMELIS VIRGINIANA ROOT BARK/STEM BARK, AND LYCOPODIUM CLAVATUM SPORE	2	generic	Aloe, Calendula Officinalis Flowering Top, Hamamelis Virginiana Root Bark/Stem Bark, And Lycopodium Clavatum Spore
ALOMIDE	1	brand	Alomide
Aloprim	1	brand	Aloprim
Alora	1	brand	Alora
Aloxi	1	brand	Aloxi
ALPHA CF	2	brand	Alpha Cf
ALPHA SH	1	brand	Alpha Sh
Alpha-dent Home Care Fluoride	1	brand	Alpha-Dent Home Care Fluoride
Alpha-Pro	2	brand	Alpha-Pro
ALPHAGAN P	2	brand	Alphagan P
ALPRAZOLAM	99	generic	Alprazolam
ALPROSTADIL	1	generic	Alprostadil
ALREX	3	brand	Alrex
ALSUMA	2	brand	Alsuma
ALTACAINE	1	brand	Altacaine
ALTEPLASE	1	generic	Alteplase
ALTERNARIA ALTERNATA	1	generic	Alternaria Alternata
ALUMINIUM HYDROXIDE	2	generic	Aluminium Hydroxide
ALUMINUM CHLORHYDRATE	3	generic	Aluminum Chlorhydrate
ALUMINUM CHLORIDE	6	generic	Aluminum Chloride
ALUMINUM CHLOROHYDRATE	4	generic	Aluminum Chlorohydrate
ALUMINUM HYDROXIDE	2	generic	Aluminum Hydroxide
ALUMINUM HYDROXIDE, MAGNESIUM CARBONATE	5	generic	Aluminum Hydroxide, Magnesium Carbonate
ALUMINUM HYDROXIDE, MAGNESIUM HYDROXIDE, DIMETHICONE	28	generic	Aluminum Hydroxide, Magnesium Hydroxide, Dimethicone
ALUMINUM HYDROXIDE, MAGNESIUM HYDROXIDE, SIMETHICONE	82	generic	Aluminum Hydroxide, Magnesium Hydroxide, Simethicone
ALUMINUM OXIDE, APIS MELLIFERA, ARSENIC TRIOXIDE, CALENDULA OFFICINALIS FLOWERING TOP, TRIBASIC CALCIUM PHOSPHATE, EUPHRASIA STRICTA, DELPHINIUM STAPHISAGRIA SEEDS, SULPHUR	1	generic	Aluminum Oxide, Apis Mellifera, Arsenic Trioxide, Calendula Officinalis Flowering Top, Tribasic Calcium Phosphate, Euphrasia Stricta, Delphinium Staphisagria Seeds, Sulphur
ALUMINUM OXIDE,BRYONIA ALBA ROOT,SODIUM CHLORIDE,GRAPHITE,SILICON DIOXIDE.	1	generic	Aluminum Oxide,Bryonia Alba Root,Sodium Chloride,Graphite,Silicon Dioxide.
ALUMINUM SESQUICHLOROHYDRATE	65	generic	Aluminum Sesquichlorohydrate
ALUMINUM SESQUICHLOROHYDRATE 17%	2	generic	Aluminum Sesquichlorohydrate 17%
ALUMINUM SULFATE	3	generic	Aluminum Sulfate
ALUMINUM SULFATE TETRADECAHYDRATE, CALCIUM ACETATE MONOHYDRATE	2	generic	Aluminum Sulfate Tetradecahydrate, Calcium Acetate Monohydrate
ALUMINUM ZIRCONIUM OCTACHLORHYDREX GLY	3	generic	Aluminum Zirconium Octachlorhydrex Gly
ALUMINUM ZIRCONIUM OCTACHLOROHYDREX GLY	32	generic	Aluminum Zirconium Octachlorohydrex Gly
ALUMINUM ZIRCONIUM PENTACHLOROHYDRATE	4	generic	Aluminum Zirconium Pentachlorohydrate
ALUMINUM ZIRCONIUM PENTACHLOROHYDREX GLY	15	generic	Aluminum Zirconium Pentachlorohydrex Gly
ALUMINUM ZIRCONIUM TETRACHLORHYDREX GLY	4	generic	Aluminum Zirconium Tetrachlorhydrex Gly
ALUMINUM ZIRCONIUM TETRACHLOROHYDREX	4	generic	Aluminum Zirconium Tetrachlorohydrex
ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY	4	generic	Aluminum Zirconium Tetrachlorohydrex Gly
ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY (19% ANHYDROUS)	3	generic	Aluminum Zirconium Tetrachlorohydrex Gly (19% Anhydrous)
ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY 19%	4	generic	Aluminum Zirconium Tetrachlorohydrex Gly 19%
ALUMINUM ZIRCONIUM TRICHLOROHYDREX GLY	3	generic	Aluminum Zirconium Trichlorohydrex Gly
ALUMINUM ZIRCONIUM TRICHOLOROHYDREX GLY	12	generic	Aluminum Zirconium Tricholorohydrex Gly
Alvesco	2	brand	Alvesco
AMANTADINE HYDROCHLORIDE	32	generic	Amantadine Hydrochloride
Amar Advanced Whitening	1	brand	Amar Advanced Whitening
Amar Regular	1	brand	Amar Regular
Ambien	1	brand	Ambien
AmBisome	1	brand	Ambisome
AMBROSIA ARTEMISIIFOLIA	1	generic	Ambrosia Artemisiifolia
AMCINONIDE	4	generic	Amcinonide
Amerfresh	2	brand	Amerfresh
Amerfresh Clear	1	brand	Amerfresh Clear
AMERICAN COCKROACH	1	generic	American Cockroach
American Crew Anti-Dandruff plus Sebum Control	1	brand	American Crew Anti-Dandruff Plus Sebum Control
American Sales Company CareOne	1	brand	American Sales Company Careone
Amidate	3	brand	Amidate
AMIFOSTINE	2	brand	Amifostine
AMIKACIN SULFATE	4	generic	Amikacin Sulfate
Amino Acids	1	brand	Amino Acids
AMINOCAPROIC ACID	2	generic	Aminocaproic Acid
AMINOHIPPURATE SODIUM	1	generic	Aminohippurate Sodium
AMINOHIPPURATE SODIUM PAH	1	brand	Aminohippurate Sodium Pah
AMINOPHYLLINE	2	generic	Aminophylline
AMINOPHYLLINE DIHYDRATE	3	generic	Aminophylline Dihydrate
Aminosyn	3	brand	Aminosyn
Aminosyn II	3	brand	Aminosyn Ii
Aminosyn II with Electrolytes	1	brand	Aminosyn Ii With Electrolytes
Aminosyn RF	1	brand	Aminosyn Rf
Aminosyn Sulfite Free	1	brand	Aminosyn Sulfite Free
Aminosyn-PF	2	brand	Aminosyn-Pf
AMIODARONE HCL	2	generic	Amiodarone Hcl
AMIODARONE HYDROCHLORIDE	12	generic	Amiodarone Hydrochloride
AMITRIPTYLINE HYDROCHLORIDE	10	brand	Amitriptyline Hydrochloride
AMLODIPINE BESYLATE	109	generic	Amlodipine Besylate
AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE	36	generic	Amlodipine Besylate And Benazepril Hydrochloride
AMMI NICOTIANA ADULT SIZE	1	generic	Ammi Nicotiana Adult Size
AMMONIA	5	generic	Ammonia
AMMONIA INHALANTS	3	generic	Ammonia Inhalants
Ammonia N 13	11	brand	Ammonia N 13
AMMONIA N-13	1	brand	Ammonia N-13
Ammonia Pad	1	brand	Ammonia Pad
AMMONIA, LIDOCAINE HYDROCHLORIDE ANHYDROUS, TRIAMCINOLONE ACETONIDE, POVIDONE-IODINE	1	generic	Ammonia, Lidocaine Hydrochloride Anhydrous, Triamcinolone Acetonide, Povidone-Iodine
AMMONIA, LIDOCAINE HYDROCHLORIDE, TRIAMCINOLONE ACETONIDE, POVIDONE-IODINE	1	generic	Ammonia, Lidocaine Hydrochloride, Triamcinolone Acetonide, Povidone-Iodine
AmmoniaN 13 N 13	1	brand	Ammonian 13 N 13
AMMONIUM CARBONICUM, ARSENICUM ALBUM, HEPAR SULPHURIS CALCAREUM, IODIUM, LYCOPODIUM CLAVATUM, NUX VOMICA, PULSATILLA,	1	generic	Ammonium Carbonicum, Arsenicum Album, Hepar Sulphuris Calcareum, Iodium, Lycopodium Clavatum, Nux Vomica, Pulsatilla,
AMMONIUM CHLORIDE	1	generic	Ammonium Chloride
AMMONIUM LACTATE	13	generic	Ammonium Lactate
AMMONIUM MOLYBDATE	1	generic	Ammonium Molybdate
Ammonul	1	brand	Ammonul
AMOBARBITAL SODIUM	1	generic	Amobarbital Sodium
AMOXICILLIN	11	brand	Amoxicillin
AMOXICILLIN AND CLAVULANATE POTASSIUM	86	generic	Amoxicillin And Clavulanate Potassium
AMPHADASE	1	brand	Amphadase
AMPHOTEC	1	brand	Amphotec
AMPHOTERICIN B	3	generic	Amphotericin B
AMPHOTERICIN B, DIMYRISTOYLPHOSPHATIDYLCHOLINE, DL- AND DIMYRISTOYLPHOSPHATIDYLGLYCEROL, DL-	1	generic	Amphotericin B, Dimyristoylphosphatidylcholine, Dl- And Dimyristoylphosphatidylglycerol, Dl-
AMPICILLIN	2	brand	Ampicillin
AMPICILLIN AND SULBACTAM	13	generic	Ampicillin And Sulbactam
AMPICILLIN SODIUM	21	generic	Ampicillin Sodium
AMPICILLIN SODIUM AND SULBACTAM SODIUM	21	generic	Ampicillin Sodium And Sulbactam Sodium
AMPICILLIN, SULBACTAM	2	generic	Ampicillin, Sulbactam
AMYL NITRITE	1	generic	Amyl Nitrite
Amytal Sodium	1	brand	Amytal Sodium
Amyvid	1	brand	Amyvid
ANAKINRA	1	generic	Anakinra
ANALGESIC BALM	1	generic	Analgesic Balm
ANASCORP	1	brand	Anascorp
ANASPAZ	1	brand	Anaspaz
ANASTROZOLE	32	generic	Anastrozole
ANCIENT RICE SERUM	1	brand	Ancient Rice Serum
Ancient Secrets Breathe Again	1	brand	Ancient Secrets Breathe Again
Ancient Secrets Breathe Again Childrens	1	brand	Ancient Secrets Breathe Again Childrens
Androderm	1	brand	Androderm
Androgel	6	brand	Androgel
Anectine	1	brand	Anectine
Anefrin Nasal	1	brand	Anefrin Nasal
anefrin nasal extra moisturizing	1	brand	Anefrin Nasal Extra Moisturizing
Angiomax	2	brand	Angiomax
ANHYDROUS CITRIC ACID, TRISODIUM CITRATE DIHYDRATE, DEXTROSE MONOHYDRATE	1	generic	Anhydrous Citric Acid, Trisodium Citrate Dihydrate, Dextrose Monohydrate
Anoro Ellipta	1	brand	Anoro Ellipta
Antacid	18	brand	Antacid
Antacid Antigas	5	brand	Antacid Antigas
antacid extra strength	4	brand	Antacid Extra Strength
ANTHRALIN	2	generic	Anthralin
ANTI BACTERIAL HAND SANITIZER	11	brand	Anti Bacterial Hand Sanitizer
Anti Diarrheal	6	brand	Anti Diarrheal
Anti E-Sirin	1	brand	Anti E-Sirin
anti itch	2	brand	Anti Itch
anti itch maximum strength	2	brand	Anti Itch Maximum Strength
anti nausea	4	brand	Anti Nausea
ANTI-BACTERIA MONOMER SILVER GEL	1	generic	Anti-Bacteria Monomer Silver Gel
ANTI-BACTERIA MONOMER SILVER LOTION	1	generic	Anti-Bacteria Monomer Silver Lotion
anti-bacterial foaming	4	brand	Anti-Bacterial Foaming
anti-bacterial Hand Cleanser	4	brand	Anti-Bacterial Hand Cleanser
ANTI-BACTERIAL HAND WASH	10	generic	Anti-Bacterial Hand Wash
Anti-Diarrheal	20	brand	Anti-Diarrheal
ANTI-ITCH CREAM	2	generic	Anti-Itch Cream
ANTI-THYMOCYTE GLOBULIN (RABBIT)	1	generic	Anti-Thymocyte Globulin (Rabbit)
ANTI-WRINKLE DAY CREAM	2	generic	Anti-Wrinkle Day Cream
ANTIBACETERIAL HAND SOAP ROSE	2	generic	Antibaceterial Hand Soap Rose
ANTIBACTERIAL	7	brand	Antibacterial
ANTIBACTERIAL FOAMING	17	brand	Antibacterial Foaming
Antibacterial Hand	10	brand	Antibacterial Hand
Antibacterial Hand Sanitizer	6	brand	Antibacterial Hand Sanitizer
ANTIBACTERIAL HAND SOAP	4	generic	Antibacterial Hand Soap
ANTIBACTERIAL REFILL	4	brand	Antibacterial Refill
Antibacterial Wet Wipes	5	brand	Antibacterial Wet Wipes
Antibactierial Hand Sanitizer	5	brand	Antibactierial Hand Sanitizer
Antibiotic Ear (Neo/Polym/HC)	1	brand	Antibiotic Ear (Neo/Polym/Hc)
ANTICARIES	2	generic	Anticaries
Anticavity	18	brand	Anticavity
ANTICAVITY AND ANTIGINGIVITIS WHITENING FLUORIDE	1	generic	Anticavity And Antigingivitis Whitening Fluoride
Anticavity Fluoride Rinse	27	brand	Anticavity Fluoride Rinse
Anticavity Juicy mint	1	brand	Anticavity Juicy Mint
ANTICAVITY TOOTHPASTE	2	generic	Anticavity Toothpaste
ANTICOAGULANT CITRATE DEXTROSE (ACD)	1	generic	Anticoagulant Citrate Dextrose (Acd)
ANTICOAGULANT CITRATE DEXTROSE SOLUTION FORMULA A	2	generic	Anticoagulant Citrate Dextrose Solution Formula A
ANTICOAGULANT CITRATE PHOSPHATE DEXTROSE (CPD)	2	generic	Anticoagulant Citrate Phosphate Dextrose (Cpd)
ANTICOAGULANT CITRATE PHOSPHATE DEXTROSE (CPD) AND AS-5 RED CELL PRESERVATIVE	10	generic	Anticoagulant Citrate Phosphate Dextrose (Cpd) And As-5 Red Cell Preservative
Anticoagulant Citrate Phosphate Dextrose (CPD) Blood-Pack Units in PL 146 Plastic	2	brand	Anticoagulant Citrate Phosphate Dextrose (Cpd) Blood-Pack Units In Pl 146 Plastic
ANTICOAGULANT CITRATE PHOSPHATE DEXTROSE (CPD) SOLUTION	1	generic	Anticoagulant Citrate Phosphate Dextrose (Cpd) Solution
ANTICOAGULANT CITRATE PHOSPHATE DEXTROSE ADENINE	26	generic	Anticoagulant Citrate Phosphate Dextrose Adenine
ANTICOAGULANT CITRATE PHOSPHATE DEXTROSE ADENINE (CPDA-1)	4	generic	Anticoagulant Citrate Phosphate Dextrose Adenine (Cpda-1)
ANTICOAGULANT CITRATE PHOSPHATE DEXTROSE ADENINE (CPDA-1) SOLUTION	1	generic	Anticoagulant Citrate Phosphate Dextrose Adenine (Cpda-1) Solution
ANTICOAGULANT CITRATE PHOSPHATE DOUBLE DEXTROSE	1	generic	Anticoagulant Citrate Phosphate Double Dextrose
Anticoagulant Sodium Citrate	1	brand	Anticoagulant Sodium Citrate
ANTICOAGULANT SODIUM CITRATE SOLUTION	3	generic	Anticoagulant Sodium Citrate Solution
ANTIFUNGAL	4	generic	Antifungal
ANTIFUNGAL LIQUID SPRAY	2	generic	Antifungal Liquid Spray
ANTIFUNGAL POWDER SPRAY	2	generic	Antifungal Powder Spray
antihistamine eye	1	brand	Antihistamine Eye
Antimicrobial	3	brand	Antimicrobial
ANTIMICROBIAL DRUG PRODUCT	2	generic	Antimicrobial Drug Product
Antimicrobial Hand Sanitizer	7	brand	Antimicrobial Hand Sanitizer
ANTIMONIUM TARTARICUM	2	generic	Antimonium Tartaricum
ANTIMONY POTASSIUM TARTRATE	5	generic	Antimony Potassium Tartrate
ANTIMONY TRISULFIDE, DIEFFENBACHIA SEGUINE,CADMIUM SULFATE,STRYCHNOS IGNATII SEED,LOBELIA INFLATA,STRYCHNOS NUX-VOMICA SEED, TOBACCO LEAF.	1	generic	Antimony Trisulfide, Dieffenbachia Seguine,Cadmium Sulfate,Strychnos Ignatii Seed,Lobelia Inflata,Strychnos Nux-Vomica Seed, Tobacco Leaf.
ANTIMONY TRISULFIDE,APIS MELLIFERA,ARSENIC TRIOXIDE,ATROPA BELLADONNA,GRAPHITE,ARCTIUM LAPPA FRUIT,KEROSENE,SOLIDAGO CANADENSIS WHOLE,VIOLA TRICOLOR.	1	generic	Antimony Trisulfide,Apis Mellifera,Arsenic Trioxide,Atropa Belladonna,Graphite,Arctium Lappa Fruit,Kerosene,Solidago Canadensis Whole,Viola Tricolor.
ANTIMONY TRISULFIDE,DIEFFENBACHIA SEGUINE,STRYCHNOS IGNATII SEED,LOBELIA INFLATA,TOBACCO LEAF.	1	generic	Antimony Trisulfide,Dieffenbachia Seguine,Strychnos Ignatii Seed,Lobelia Inflata,Tobacco Leaf.
ANTIMONY TRISULFIDE,SEMECARPUS ANACARDIUM JUICE,FUCUS VESICULOSUS,BOS TAURUS HYPOTHALAMUS,SODIUM SULFATE,PHYTOLACCA AMERICANA ROOT,THYROID, UNSPECIFIED.	1	generic	Antimony Trisulfide,Semecarpus Anacardium Juice,Fucus Vesiculosus,Bos Taurus Hypothalamus,Sodium Sulfate,Phytolacca Americana Root,Thyroid, Unspecified.
ANTIOCOAGULANT CITRATE DEXTROSE SOLUTION, FORMULA A	1	generic	Antiocoagulant Citrate Dextrose Solution, Formula A
Antiox	1	brand	Antiox
ANTIPERSPIRANT	4	generic	Antiperspirant
ANTIPERSPIRANT AND DEODORANT	10	generic	Antiperspirant And Deodorant
antiperspirant deodorant	5	brand	Antiperspirant Deodorant
ANTIPERSPIRANT/DEODORANT	3	generic	Antiperspirant/Deodorant
ANTIPYRINE AND BENZOCAINE	12	generic	Antipyrine And Benzocaine
Antipyrine and Benzocaine Otic	1	brand	Antipyrine And Benzocaine Otic
ANTIPYRINE, BENZOCAINE	3	generic	Antipyrine, Benzocaine
ANTIPYRINE, BENZOCAINE OTIC	1	generic	Antipyrine, Benzocaine Otic
Antisepation Antimicrobial Cleansing Gel	1	brand	Antisepation Antimicrobial Cleansing Gel
Antiseptic	20	brand	Antiseptic
ANTISEPTIC HANDWASH	21	generic	Antiseptic Handwash
Antiseptic Mouth Rinse	32	brand	Antiseptic Mouth Rinse
Antispetic	28	brand	Antispetic
ANTITHROMBIN (RECOMBINANT)	1	generic	Antithrombin (Recombinant)
ANTIVENIN (MICRURUS FULVIUS)	1	brand	Antivenin (Micrurus Fulvius)
Antizol	1	brand	Antizol
Anu-Med	1	brand	Anu-Med
ANUCORT-HC	2	brand	Anucort-Hc
Anusol HC	1	brand	Anusol Hc
Anzemet	1	brand	Anzemet
Apatite	1	brand	Apatite
APATITE PROFESSIONAL	1	brand	Apatite Professional
APIS 6X, EUPHRASIA 6X, SABADILLA 6X	1	generic	Apis 6X, Euphrasia 6X, Sabadilla 6X
APIS AND EUPHRASIA AND PULSATILLA AND SABADILLA	1	generic	Apis And Euphrasia And Pulsatilla And Sabadilla
APIS AND EUPHRASIA AND SABADILLA	1	generic	Apis And Euphrasia And Sabadilla
APIS MEL., BERBER. VULG., BRYONIA, CANTHARIS, CINCHONA, EQUISETUM HYEMALE, FERRUM PHOSPHORICUM, GELSEMIUM, JUNIPERUS COM., PAREIRA, PHOSPHORUS, PLANTAGO, PULSATILLA, SABAL, TEREBINTHINA, UVA-URSI, ECHINACEA, HYDRASTIS, LAPPA, SOLIDAGO	4	generic	Apis Mel., Berber. Vulg., Bryonia, Cantharis, Cinchona, Equisetum Hyemale, Ferrum Phosphoricum, Gelsemium, Juniperus Com., Pareira, Phosphorus, Plantago, Pulsatilla, Sabal, Terebinthina, Uva-Ursi, Echinacea, Hydrastis, Lappa, Solidago
APIS MELLIFERA	1	brand	Apis Mellifera
APIS MELLIFERA AND EUPHRASIA STRICTA AND SCHOENOCAULON OFFICINALE SEED	1	generic	Apis Mellifera And Euphrasia Stricta And Schoenocaulon Officinale Seed
APIS MELLIFERA, ARNICA MONTANA,CAULOPHYLLUM ROBUSTUM ROOT,RUTA GRAVEOLENS FLOWERING TOP,VIOLA ODORATA.	1	generic	Apis Mellifera, Arnica Montana,Caulophyllum Robustum Root,Ruta Graveolens Flowering Top,Viola Odorata.
APIS MELLIFICA	8	brand	Apis Mellifica
APIS MELLIFICA, CARBOLICUM ACIDUM, LEDUM PALUSTRE	4	generic	Apis Mellifica, Carbolicum Acidum, Ledum Palustre
Aplicare Povidone-iodine	1	brand	Aplicare Povidone-Iodine
Aplisol	1	brand	Aplisol
APOKYN	2	brand	Apokyn
APOMORPHINE HYDROCHLORIDE	2	generic	Apomorphine Hydrochloride
APOMORPHINUM MURIATICUM	1	brand	Apomorphinum Muriaticum
APRACLONIDINE	2	generic	Apraclonidine
APRACLONIDINE HYDROCHLORIDE	2	generic	Apraclonidine Hydrochloride
Apraclonidine Ophthalmic	1	brand	Apraclonidine Ophthalmic
AQUA FOUNDATION	2	generic	Aqua Foundation
Aqua Maris Baby	1	brand	Aqua Maris Baby
Aqua Maris Ear	1	brand	Aqua Maris Ear
Aqua Maris Fast Acting Decongestant	1	brand	Aqua Maris Fast Acting Decongestant
Aqua Maris Isotonised	1	brand	Aqua Maris Isotonised
Aqua Maris Kids Fast Acting Decongestant	1	brand	Aqua Maris Kids Fast Acting Decongestant
Aqua Maris Strong	1	brand	Aqua Maris Strong
Aquafresh	1	brand	Aquafresh
Aquafresh Big Kids	1	brand	Aquafresh Big Kids
Aquafresh Cavity Protection	1	brand	Aquafresh Cavity Protection
AQUAFRESH iso-active	1	brand	Aquafresh Iso-Active
AQUAFRESH SENSITIVE MAXIMUM STRENGTH	1	brand	Aquafresh Sensitive Maximum Strength
AQUAFRESH TARTAR CONTROL WHITENING	1	brand	Aquafresh Tartar Control Whitening
Aquapick Whitening Bubblepick	1	brand	Aquapick Whitening Bubblepick
AQUASOL A	1	brand	Aquasol A
ARABIC GUM	1	generic	Arabic Gum
ARABICA COFFEE BEAN	1	generic	Arabica Coffee Bean
ARALIA QUINQUEFOLIA, ARNICA MONTANA, CARDUUS MARIANUS, DAMIANA, GALIUM APARINE, HAMAMELIS VIRGINIANA, HEPAR SUIS, NATRUM MURIATICUM, PHOSPHORICUM ACIDUM, PITUITARUM POSTERIUM, TARAXACUM OFFICINALE, THUJA OCCIDENTALIS	1	generic	Aralia Quinquefolia, Arnica Montana, Carduus Marianus, Damiana, Galium Aparine, Hamamelis Virginiana, Hepar Suis, Natrum Muriaticum, Phosphoricum Acidum, Pituitarum Posterium, Taraxacum Officinale, Thuja Occidentalis
ARALIA QUONQUEFOLIA 3X, ARNICA MONTANA 3X, CARDUUS MARIANUS 3X, DAMIANA 3X, GALIUM APARINE 3X, HAMAMELIS VIRGINIANA 3X, HEPAR SUIS 6X, NATRUM MURIATICUM 200C, PHOSPHORICUM ACIDUM 3X, PITUITARUM POSTERIUM 30X, TARAXACUM OFFICINALE 200C, THUJA OCCIDENTALIS 200C	1	generic	Aralia Quonquefolia 3X, Arnica Montana 3X, Carduus Marianus 3X, Damiana 3X, Galium Aparine 3X, Hamamelis Virginiana 3X, Hepar Suis 6X, Natrum Muriaticum 200C, Phosphoricum Acidum 3X, Pituitarum Posterium 30X, Taraxacum Officinale 200C, Thuja Occidentalis 200C
ARANEUS DIADEMATUS, TRIBASIC CALCIUM PHOSPHATE, EQUISETUM HYEMALE, FERROUS IODIDE,FUMARIA OFFICINALIS FLOWERING TOP, GENTIANA LUTEA ROOT, GERANIUM ROBERTIANUM, MYOSOTIS ARVENSIS, NASTURTIUM OFFICINALE, SODIUM SULFATE, PINUS SYLVESTRIS LEAFY TWIG,SMILAX REGELII ROOT, SCROPHULARIA NODOSA, TEUCRIUM SCORODONIA FLOWERING TOP, THYROID, UNSPECIFIED ANDVERONICA OFFICINALIS FLOWERING TOP	1	generic	Araneus Diadematus, Tribasic Calcium Phosphate, Equisetum Hyemale, Ferrous Iodide,Fumaria Officinalis Flowering Top, Gentiana Lutea Root, Geranium Robertianum, Myosotis Arvensis, Nasturtium Officinale, Sodium Sulfate, Pinus Sylvestris Leafy Twig,Smilax Regelii Root, Scrophularia Nodosa, Teucrium Scorodonia Flowering Top, Thyroid, Unspecified Andveronica Officinalis Flowering Top
ARBUTIN	8	generic	Arbutin
ARBUTIN, GLYCERIN	2	generic	Arbutin, Glycerin
Arcapta Neohaler	1	brand	Arcapta Neohaler
ARCTIUM LAPPA WHOLE,BERBERIS VULGARIS ROOT BARK,SILYBUM MARIANUM SEED,CHELIDONIUM MAJUS,CHOLESTEROL,CHRYSANTHELLUM INDICUM SUBSP. AFROAMERICANUM,SOLIDAGO CANADENSIS FLOWERING TOP,TARAXACUM PALUSTRE ROOT.	1	generic	Arctium Lappa Whole,Berberis Vulgaris Root Bark,Silybum Marianum Seed,Chelidonium Majus,Cholesterol,Chrysanthellum Indicum Subsp. Afroamericanum,Solidago Canadensis Flowering Top,Taraxacum Palustre Root.
Arex Sinsin Pas	2	brand	Arex Sinsin Pas
ARFORMOTEROL TARTRATE	1	generic	Arformoterol Tartrate
ARGATROBAN	1	brand	Argatroban
ARGENTUM 0.4 ADULT SIZE (COCOA BUTTER) SPECIAL ORDER	1	generic	Argentum 0.4 Adult Size (Cocoa Butter) Special Order
ARGENTUM 0.4% ADULT	1	generic	Argentum 0.4% Adult
ARGENTUM METALLICUM	2	generic	Argentum Metallicum
Argentum Nitricum	1	brand	Argentum Nitricum
ARGENTUM NITRICUM, ARSENICUM IODATUM, BRYONIA, CARBO VEGETABILES, CONIUM MACULATUM, KALI BICHROMICUM, LACHESIS MUTUS, LYCOPODIUM, NUX VOMICA AND VISCUM ALBUM	1	generic	Argentum Nitricum, Arsenicum Iodatum, Bryonia, Carbo Vegetabiles, Conium Maculatum, Kali Bichromicum, Lachesis Mutus, Lycopodium, Nux Vomica And Viscum Album
ARGININE HYDROCHLORIDE	1	generic	Arginine Hydrochloride
ARGIPRESSIN	2	generic	Argipressin
ARIPIPRAZOLE	22	generic	Aripiprazole
Aristospan	1	brand	Aristospan
ARIXTRA	2	brand	Arixtra
Arm and Hammer Orajel Sensitive Freshening with Flavor Burst	1	brand	Arm And Hammer Orajel Sensitive Freshening With Flavor Burst
Armarita	1	brand	Armarita
ARMODAFINIL	4	generic	Armodafinil
Arnica	2	brand	Arnica
Arnica 12c	1	brand	Arnica 12C
Arnica 30c	1	brand	Arnica 30C
Arnica 6c	1	brand	Arnica 6C
ARNICA MONTANA	1	generic	Arnica Montana
ARNICA MONTANA (WHOLE PLANT)	3	brand	Arnica Montana (Whole Plant)
ARNICA MONTANA AND TOXICODENDRON PUBESCENS LEAF AND SOLANUM DULCAMARA STEM AND SYMPHYTUM TUBEROSUM ROOT AND SULFUR AND SANGUINARIA CANADENSIS ROOT AND SUS SCROFA CARTILAGE AND SUS SCROFA EMBRYO AND SU	1	generic	Arnica Montana And Toxicodendron Pubescens Leaf And Solanum Dulcamara Stem And Symphytum Tuberosum Root And Sulfur And Sanguinaria Canadensis Root And Sus Scrofa Cartilage And Sus Scrofa Embryo And Su
ARNICA MONTANA FLOWER AND CHAMOMILE	2	generic	Arnica Montana Flower And Chamomile
ARNICA MONTANA FLOWER,BRYONIA ALBA WHOLE,MATRICARIA RECUTITA,PSEUDOGNAPHALIUM LUTEOALBUM LEAF,KALMIA LATIFOLIA LEAF,TOXICODENDRON PUBESCENS LEAF,VISCUM ALBUM LEAF.	1	generic	Arnica Montana Flower,Bryonia Alba Whole,Matricaria Recutita,Pseudognaphalium Luteoalbum Leaf,Kalmia Latifolia Leaf,Toxicodendron Pubescens Leaf,Viscum Album Leaf.
ARNICA MONTANA ROOT AND ATROPA BELLADONNA AND CALENDULA OFFICINALIS FLOWERING TOP AND MATRICARIA RECUTITA AND ACHILLEA MILLEFOLIUM AND CALCIUM SULFIDE AND COMFREY ROOT AND ACONITUM NAPELLUS AND BELLIS	1	generic	Arnica Montana Root And Atropa Belladonna And Calendula Officinalis Flowering Top And Matricaria Recutita And Achillea Millefolium And Calcium Sulfide And Comfrey Root And Aconitum Napellus And Bellis
ARNICA MONTANA WHOLE PLANT	2	brand	Arnica Montana Whole Plant
ARNICA MONTANA, ARNICA MONTANA, RADIX	2	generic	Arnica Montana, Arnica Montana, Radix
ARNICA MONTANA, BRYONIA ALBA, CHAMOMILLA,HYPERICUM PERFORATUM, KALMIA LATIFOLIA LEAF,KALMIA LATIFOLIA LEAF	1	generic	Arnica Montana, Bryonia Alba, Chamomilla,Hypericum Perforatum, Kalmia Latifolia Leaf,Kalmia Latifolia Leaf
